seed,x_cells,y_cells,area_cells,solute_mass
0,262.4746,209.3051,76,5.413731
0,483.2420,212.8474,176,12.428740
0,627.3955,210.9709,124,10.679838
0,728.1704,209.4129,88,6.961263
0,948.1931,211.2496,126,11.030383
0,7.0637,210.3469,55,3.278240
0,372.3284,212.6534,106,8.356403
0,879.7477,209.8049,38,1.836286
0,21.3120,212.2118,72,4.902342
0,309.4313,212.9102,110,9.206248
0,648.3586,213.5172,97,7.478477
0,779.6208,213.5225,81,5.667674
0,812.9208,213.3915,75,5.146657
0,138.2884,219.7594,237,19.954050
0,289.0436,216.0908,130,11.084721
0,583.4251,215.1541,115,8.782266
0,676.7747,213.4244,49,2.798778
0,744.7580,216.5084,134,11.643141
0,915.6015,215.7311,111,8.951231
0,165.2538,216.1701,121,10.432922
0,245.5050,216.4516,116,9.619777
0,455.0446,218.4931,159,14.115940
0,977.3051,216.1016,79,5.904645
0,693.7127,217.0640,66,4.465387
0,424.8136,216.8639,27,1.090169
0,864.5063,217.5931,60,4.102431
0,711.9910,221.5631,127,10.613259
0,765.7718,221.9001,112,9.320209
0,36.8945,222.9111,160,12.156152
0,191.5263,225.2894,208,19.268247
0,565.2071,222.6295,139,12.250436
0,611.5264,225.6260,164,11.992142
0,1017.8827,223.2600,167,15.108780
0,533.8152,221.4576,58,3.676605
0,548.6379,220.0214,14,0.310935
0,501.8211,221.3924,35,1.601461
0,796.1464,223.5214,75,5.253148
0,321.7404,225.0906,86,6.238556
0,359.7103,224.3822,66,4.434451
0,821.7701,224.2950,73,4.737349
0,840.1019,224.3818,89,6.477495
0,899.4282,224.5419,69,4.618982
0,273.0484,226.5515,101,7.939193
0,399.4107,233.2014,223,17.159709
0,636.2094,224.3063,23,0.868585
0,667.2678,225.5517,64,4.162545
0,941.4800,226.8511,82,6.056280
0,97.6317,229.2184,108,8.881280
0,519.7199,228.0181,97,7.641779
0,878.6896,229.0479,127,10.920860
0,965.6689,228.5874,107,8.556573
0,120.2860,227.8564,55,3.356046
0,215.2538,229.7981,114,9.504434
0,343.0867,229.1818,110,9.242174
0,379.0190,227.6374,53,3.087500
0,436.9923,228.4372,69,4.594059
0,924.1218,230.1342,112,9.175019
0,419.1104,230.7458,84,6.332527
0,231.7487,231.0609,73,5.095396
0,685.0436,232.9054,110,9.080243
0,490.5104,231.9935,67,4.434423
0,652.9589,233.2538,94,7.124076
0,997.3829,232.8033,91,7.038317
0,303.7051,233.5437,80,5.784800
0,595.4091,234.2871,115,9.473324
0,55.2685,235.6106,125,10.542018
0,75.9094,234.3763,83,6.388397
0,160.6743,234.7471,89,6.691908
0,253.1405,235.3466,122,10.299854
0,473.3885,234.9512,84,6.380561
0,728.2999,239.7406,156,11.913048
0,748.1414,235.3821,92,7.139560
0,982.6795,233.8769,50,2.887455
0,540.6782,235.6689,91,7.165091
0,858.3783,237.9491,153,13.419439
0,782.8514,237.8962,139,12.234096
0,10.4249,239.6137,137,12.342227
0,287.3955,237.1063,77,5.570912
0,504.2130,235.7297,41,2.099508
0,806.8120,239.6912,141,11.502266
0,704.0411,238.9811,89,6.667087
0,451.7823,239.8552,95,7.284610
0,897.7543,240.2327,87,6.507480
0,580.2571,248.8678,191,13.813546
0,633.3869,241.2562,138,11.422053
0,125.0287,242.6580,116,9.740421
0,180.0636,241.9646,102,8.364564
0,825.2730,241.0217,75,5.293685
0,331.0456,241.6624,63,3.871999
0,373.6224,244.1117,125,10.060593
0,954.9908,242.4458,89,6.776951
0,28.6361,243.9025,98,7.743212
0,432.0635,242.6057,53,3.088872
0,557.1512,243.7859,101,8.289807
0,763.3479,242.7713,49,2.762780
0,671.1158,246.8569,127,10.168324
0,316.4400,250.4805,144,10.127760
0,841.2239,245.7251,76,5.475527
0,271.5316,245.8957,60,3.845714
0,881.9335,244.3312,18,0.505229
0,938.7121,250.0617,142,10.865140
0,90.9176,248.5582,123,10.396140
0,913.0977,246.7799,54,3.290932
0,973.9358,246.1272,46,2.715978
0,1013.5365,255.3292,186,13.729845
0,108.3702,247.7770,58,3.786978
0,197.6919,246.0052,26,1.170632
0,352.3666,250.5596,165,15.115794
0,485.9089,246.2690,26,1.014083
0,613.1067,248.4489,74,5.362259
0,994.3472,247.0132,33,1.480806
0,145.5673,249.4841,147,11.132246
0,527.9348,250.2069,109,9.085734
0,41.2484,257.5455,155,10.558718
0,235.5914,252.7821,168,15.485300
0,507.4258,251.5721,119,10.366832
0,167.3911,251.3620,54,3.327296
0,210.8335,253.7823,124,10.436603
0,745.6926,252.1542,55,3.455521
0,468.6496,254.0632,128,10.720264
0,710.1241,254.6420,104,8.322265
0,772.7456,252.1725,45,2.483360
0,69.4866,255.5535,126,11.440933
0,290.6575,256.2115,135,11.832329
